	brand	model	spec	year	dB_at_idle	dB_at_50kmh	dB_at_80kmh	dB_at_100kmh	dB_at_120kmh	dB_at_140kmh	model_id	model_id_cqa	model_make_id_cqa	model_name_cqa	model_trim_cqa	model_year_cqa	model_body_cqa	model_engine_position_cqa	model_engine_cc_cqa	model_engine_cyl_cqa	model_engine_type_cqa	model_engine_valves_per_cyl_cqa	model_engine_power_ps_cqa	model_engine_power_rpm_cqa	model_engine_torque_nm_cqa	model_engine_torque_rpm_cqa	model_engine_bore_mm_cqa	model_engine_stroke_mm_cqa	model_engine_compression_cqa	model_engine_fuel_cqa	model_top_speed_kph_cqa	model_0_to_100_kph_cqa	model_drive_cqa	model_transmission_type_cqa	model_seats_cqa	model_doors_cqa	model_weight_kg_cqa	model_length_mm_cqa	model_width_mm_cqa	model_height_mm_cqa	model_wheelbase_mm_cqa	model_lkm_hwy_cqa	model_lkm_mixed_cqa	model_lkm_city_cqa	model_fuel_cap_l_cqa	model_sold_in_us_cqa	model_co2_cqa	model_make_display_cqa	model_engine_l_cqa	model_engine_ci_cqa	model_engine_bore_in_cqa	model_engine_stroke_in_cqa	model_engine_valves_cqa	model_engine_power_hp_cqa	model_engine_power_kw_cqa	model_engine_torque_lbft_cqa	model_engine_torque_kgm_cqa	model_top_speed_mph_cqa	model_weight_lbs_cqa	model_length_in_cqa	model_width_in_cqa	model_height_in_cqa	model_wheelbase_in_cqa	model_mpg_hwy_cqa	model_mpg_city_cqa	model_mpg_mixed_cqa	model_fuel_cap_g_cqa	make_display_cqa	make_country_cqa	ExtColors_cqa	IntColors_cqa
188	BMW	1	116i	2015	 42.4 	 57.6 	 61.8 	 64.9 	 67.6 	 71.3 	nan																																																												
189	BMW	1	116i	2016	 41.9 	 56.8 	 60.5 	 64.3 	 66.2 	 69.6 	nan																																																												
190	BMW	1	118i	2017	 44.9 	 56.8 	 60.0 	 63.3 	 65.2 	 68.6 	nan																																																												
191	BMW	1	120i	2017	 37.7 	 53.8 	 59.9 	 63.4 	 70.1 	 70.2 	nan																																																												
192	BMW	1	140i	2017	 45.9 	 61.8 	 64.0 	 66.3 	 68.2 	 71.7 	nan																																																												
193	BMW	1	116d	2018	 45.1 	 56.1 	 61.8 	 67.8 	 70.2 	 71.8 	nan																																																												
194	BMW	2	218i	2014	 44.5 	 57.7 	 62.2 	 64.9 	 68.6 	 71.8 	nan																																																												
195	BMW	2	218D Gran Tourer	2015	 42.9 	 59.2 	 62.6 	 65.9 	 69.6 	 71.3 	nan																																																												
196	BMW	2	220D Cabrio	2015	 42.3 	 58.2 	 61.6 	 64.9 	 70.6 	 72.3 	nan																																																												
197	BMW	2	220i	2015	 39.3 	 58.5 	 62.5 	 66.6 	 69.3 	 73.6 	nan																																																												
198	BMW	2	225i	2015	 42.9 	 60.2 	 63.1 	 65.9 	 68.6 	 70.3 	nan																																																												
199	BMW	2	218i Active Tourer	2016	 39.9 	 59.8 	 63.0 	 66.3 	 68.2 	 71.7 	nan																																																												
200	BMW	2	220d Gran Tourer	2016	 46.1 	 61.2 	 63.8 	 66.3 	 68.3 	 71.8 	nan																																																												
201	BMW	2	216d	2017	 47.9 	 59.8 	 63.0 	 66.3 	 67.2 	 70.6 	nan																																																												
202	BMW	2	216d Active Tourer	2018	 45.1 	 54.6 	 60.4 	 65.8 	 68.2 	 70.8 	nan																																																												
203	BMW	2	216d GranTourer	2018	 44.9 	 54.5 	 60.3 	 65.8 	 68.2 	 70.8 	nan																																																												
204	BMW	2	225xe Active Tourer	2018	 34.1 	 49.1 	 56.0 	 65.3 	 67.7 	 69.8 	nan																																																												
205	BMW	3	318d	2008	 46.6 	 59.0 	 62.0 	 64.0 	 67.0 	 70.0 	nan																																																												
206	BMW	3	320d	2008	 43.7 	 53.8 	 61.8 	 65.5 	 67.2 	 69.3 	nan																																																												
207	BMW	3	320i	2008	 43.9 	 63.7 	 66.9 	 67.7 	 70.9 	 72.7 	nan																																																												
208	BMW	3	325i	2008	 44.9 	 55.2 	 63.5 	 65.5 	 69.1 	 73.2 	nan																																																												
209	BMW	3	325i Coupe	2009	 41.6 	 60.0 	 64.0 	 65.5 	 68.0 	 70.0 	nan																																																												
210	BMW	3	330d	2009	 42.6 	 52.5 	 60.4 	 64.5 	 65.6 	 67.1 	nan																																																												
211	BMW	3	335d	2009	 46.4 	 55.0 	 60.4 	 63.1 	 65.7 	 68.3 	nan																																																												
212	BMW	3	335i Coupe	2009	 50.1 	 62.5 	 66.0 	 67.9 	 70.6 	 73.0 	nan																																																												
213	BMW	3	325i Cabrio	2010	 43.3 	 59.0 	 64.5 	 66.3 	 69.1 	 71.2 	nan																																																												
214	BMW	3	320d Stationcar	2011	 50.3 	 57.8 	 63.1 	 66.7 	 68.3 	 71.7 	nan																																																												
215	BMW	3	320i Coupe	2011	 44.2 	 54.4 	 62.6 	 65.5 	 68.1 	 71.1 	nan																																																												
216	BMW	3	320d	2012	 43.5 	 57.4 	 60.5 	 63.3 	 66.9 	 70.8 	nan																																																												
217	BMW	3	320i	2012	 44.2 	 54.4 	 62.6 	 64.7 	 68.1 	 71.9 	nan																																																												
218	BMW	3	328i	2012	 42.0 	 53.6 	 60.8 	 64.8 	 67.3 	 69.8 	nan																																																												
219	BMW	3	328i	2012	 44.0 	 54.2 	 62.3 	 64.9 	 67.8 	 71.1 	nan																																																												
220	BMW	3	320i	2013	 40.6 	 55.8 	 59.2 	 63.6 	 66.5 	 70.6 	nan																																																												
221	BMW	3	320d	2014	 44.9 	 55.8 	 59.8 	 62.9 	 66.6 	 69.2 	nan																																																												
222	BMW	3	320d Stationcar	2014	 41.0 	 55.2 	 59.1 	 62.9 	 66.6 	 68.3 	nan																																																												
223	BMW	3	330d Stationcar	2014	 41.0 	 59.2 	 61.1 	 62.9 	 66.6 	 68.3 	nan																																																												
224	BMW	3	316 Stationcar	2015	 46.1 	 57.0 	 61.6 	 64.5 	 66.7 	 69.5 	nan																																																												
225	BMW	3	320d	2016	 42.9 	 56.2 	 59.9 	 63.0 	 67.4 	 69.5 	nan																																																												
226	BMW	3	320i	2016	 40.1 	 58.2 	 61.2 	 64.3 	 66.3 	 69.7 	nan																																																												
227	BMW	3	320d	2017	 43.9 	 58.8 	 61.5 	 64.3 	 67.2 	 70.6 	nan																																																												
228	BMW	3	318i	2018	 39.1 	 51.6 	 58.2 	 65.8 	 68.2 	 70.8 	nan																																																												
229	BMW	4	428i	2014	 42.4 	 52.7 	 59.1 	 62.4 	 65.4 	 68.3 	nan																																																												
230	BMW	4	430i	2016	 44.9 	 56.8 	 60.0 	 63.3 	 64.3 	 67.6 	nan																																																												
231	BMW	4	430i Gran Coupe	2017	 40.9 	 57.8 	 61.0 	 64.3 	 65.2 	 68.6 	nan																																																												
232	BMW	5	530d	2008	 46.2 	 56.6 	 60.1 	 64.1 	 66.6 	 71.1 	nan																																																												
233	BMW	5	535i	2008	 43.6 	 52.2 	 57.6 	 60.3 	 63.1 	 66.0 	nan																																																												
234	BMW	5	530d GT	2009	 43.1 	 56.2 	 60.5 	 64.2 	 66.5 	 69.1 	nan																																																												
235	BMW	5	523i	2010	 42.4 	 52.2 	 60.0 	 63.8 	 65.2 	 67.0 	nan																																																												
236	BMW	5	530d	2010	 44.6 	 56.7 	 61.1 	 62.9 	 65.1 	 68.8 	nan																																																												
237	BMW	5	535i GT	2010	 42.9 	 52.8 	 60.7 	 63.6 	 66.1 	 68.8 	nan																																																												
238	BMW	5	550i GT	2010	 34.5 	 48.2 	 56.8 	 61.3 	 65.2 	 69.1 	nan																																																												
239	BMW	5	520d Stationcar	2011	 43.5 	 53.5 	 61.5 	 64.5 	 67.0 	 69.8 	nan																																																												
240	BMW	5	530d	2011	 44.6 	 56.7 	 61.1 	 62.9 	 65.1 	 68.9 	nan																																																												
241	BMW	5	535i	2011	 42.6 	 54.7 	 62.1 	 66.4 	 68.3 	 70.2 	nan																																																												
242	BMW	5	535i Stationcar	2011	 40.9 	 55.9 	 59.2 	 62.6 	 65.6 	 67.8 	nan																																																												
243	BMW	5	535i	2012	 42.8 	 52.0 	 57.8 	 60.9 	 63.1 	 65.4 	nan																																																												
244	BMW	5	ActiveHybrid	2012	 41.8 	 53.5 	 58.4 	 61.3 	 65.2 	 68.1 	nan																																																												
245	BMW	5	ActiveHybrid	2012	 41.3 	 50.8 	 58.4 	 61.8 	 63.5 	 65.6 	nan																																																												
246	BMW	5	520i Stationcar	2015	 42.9 	 60.2 	 63.1 	 65.9 	 67.6 	 69.3 	nan																																																												
247	BMW	5	530d	2015	 41.0 	 55.2 	 59.1 	 62.9 	 66.6 	 68.3 	nan																																																												
248	BMW	5	520d	2016	 45.9 	 57.8 	 60.5 	 63.3 	 65.2 	 68.6 	nan																																																												
249	BMW	5	520d Stationcar	2016	 43.9 	 57.8 	 61.5 	 64.7 	 65.2 	 68.6 	nan																																																												
250	BMW	5	530d	2016	 41.9 	 56.8 	 60.5 	 63.3 	 64.3 	 67.6 	nan																																																												
251	BMW	5	535d	2016	 46.9 	 57.8 	 60.5 	 63.3 	 65.1 	 68.2 	nan																																																												
252	BMW	5	530d	2017	 41.9 	 55.8 	 59.0 	 62.2 	 64.3 	 67.6 	nan																																																												
253	BMW	5	530d stationcar	2017	 41.9 	 55.8 	 59.5 	 63.3 	 65.2 	 68.6 	nan																																																												
254	BMW	5	530i	2017	 37.9 	 54.8 	 58.5 	 61.2 	 62.3 	 65.5 	nan																																																												
255	BMW	5	530i stationcar	2017	 37.1 	 51.7 	 57.5 	 59.6 	 65.5 	 65.6 	nan																																																												
256	BMW	5	540i	2017	 38.9 	 56.8 	 60.0 	 63.3 	 65.2 	 68.6 	nan																																																												
257	BMW	5	520d	2018	 42.9 	 53.0 	 58.7 	 64.3 	 66.7 	 68.8 	nan																																																												
258	BMW	5	520d Stationcar	2018	 43.1 	 52.6 	 58.2 	 63.3 	 65.7 	 67.8 	nan																																																												
259	BMW	6	640i Gran Coupe	2012	 41.6 	 51.2 	 58.9 	 63.2 	 64.0 	 65.1 	nan																																																												
260	BMW	6	650i	2012	 47.3 	 55.0 	 60.0 	 62.1 	 65.7 	 69.3 	nan																																																												
261	BMW	6	650i	2012	 43.6 	 53.7 	 61.7 	 65.2 	 67.1 	 69.4 	nan																																																												
262	BMW	7	730d	2009	 42.1 	 56.3 	 60.1 	 62.0 	 66.7 	 68.1 	nan																																																												
263	BMW	7	750i	2009	 41.4 	 53.9 	 61.6 	 66.0 	 68.1 	 70.2 	nan																																																												
264	BMW	7	740d	2010	 42.4 	 52.2 	 60.0 	 63.8 	 65.2 	 67.0 	nan																																																												
265	BMW	7	750iL	2010	 38.5 	 56.1 	 61.2 	 63.0 	 64.8 	 67.0 	nan																																																												
266	BMW	7	740i	2011	 44.8 	 53.7 	 59.3 	 62.0 	 65.0 	 68.1 	nan																																																												
267	BMW	7	750i	2013	 40.3 	 55.2 	 58.6 	 61.9 	 65.7 	 67.3 	nan																																																												
268	BMW	7	730d	2014	 39.7 	 56.2 	 58.6 	 60.9 	 65.7 	 67.3 	nan																																																												
269	BMW	7	730d	2016	 42.9 	 53.9 	 57.7 	 60.5 	 63.0 	 66.0 	nan																																																												
270	BMW	7	760i	2017	 35.9 	 57.8 	 59.0 	 60.2 	 62.3 	 65.5 	nan																																																												
271	BMW	i3	 	2014	 43.4 	 53.5 	 59.8 	 64.2 	 66.9 	 71.4 	nan																																																												
272	BMW	i3	 	2017	 45.5 	 55.1 	 58.9 	 62.9 	 70.1 	 70.2 	nan																																																												
273	BMW	i3	0.6	2018	 31.9 	 48.5 	 55.3 	 65.3 	 67.7 	 68.8 	nan																																																												
274	BMW	i8	 	2014	 42.3 	 60.2 	 62.6 	 64.9 	 70.6 	 72.3 	nan																																																												
275	BMW	M2	 	2016	 49.9 	 61.8 	 64.5 	 67.3 	 69.1 	 72.7 	nan																																																												
276	BMW	M2	 	2017	 44.9 	 61.8 	 65.5 	 69.3 	 70.1 	 73.7 	nan																																																												
277	BMW	M3	 	2008	 51.1 	 61.1 	 67.3 	 70.4 	 73.7 	 77.0 	5714	5714	bmw	M3	Convertible	2008	Convertible	Front	3246	6	in-line	4	343	7900	365	4900	87.1	91.0	11.5:1	Gasoline		5.5	Rear	Manual	4	2	1655	4500	1790	1380	2740	10.2	12.1		63	1		BMW	3.2	198	3.43	3.58	24	338	252	269	37		3649	177.2	70.5	54.3	107.9	23		19.0	16.6	BMW	Germany		
278	BMW	M3	Cabrio	2008	 53.4 	 62.7 	 68.6 	 71.6 	 74.3 	 77.0 	5682	5682	bmw	M3		2008	Coupe	Front	3246	8	V	4	344	4900	365	4900			11.5:1	Gasoline	250.0	5.2	Rear	Manual	4	2	1570	4500	1790	1380	2740		11.9		63	1		BMW	3.2	198			32	339	253	269	37	155.0	3461	177.2	70.5	54.3	107.9			20.0	16.6	BMW	Germany		
279	BMW	M3	 	2013	 48.0 	 58.2 	 64.7 	 67.9 	 71.2 	 74.5 	57673	57673	bmw	M3	Coupe	2013	Coupe	Front	3999	8	V	4	414	8300	400	3900	92.0	75.0	12.0 : 1	Gasoline	250.0	4.8	Rear	6-speed manual	5	2	1680	4618	1976	1418	2761	9.7		15.2	63	1		BMW	4.0	244	3.62	2.95	32	408	304	295	41	155.0	3704	181.8	77.8	55.8	108.7	24	15		16.6	BMW	Germany		
280	BMW	M3	 	2014	 44.9 	 60.2 	 64.6 	 68.9 	 71.5 	 73.3 	nan																																																												
281	BMW	M3	 	2017	 48.9 	 62.7 	 65.5 	 68.3 	 72.1 	 75.8 	68775	68775	BMW	M3	4dr Sedan (3.0L 6cyl Turbo 6M)	2017	Compact Cars	Front	3000	6	Inline	4	425		406				10.2	Premium Unleaded (Required)			Rear Wheel Drive	Manual		4	3540					26.0	20.0	17.0	16	1		BMW	3.0	183			24	419	313	299	41		7804					9	14	12.0	4.2	BMW	Germany		
282	BMW	M4	 	2017	 46.9 	 64.7 	 67.0 	 67.9 	 68.2 	 71.7 	68807	68807	BMW	M4	2dr Coupe (3.0L 6cyl Turbo 6M)	2017	Compact Cars	Front	3000	6	Inline	4	425		406				10.2	Premium Unleaded (Required)			Rear Wheel Drive	Manual		2	3530					26.0	20.0	17.0	16	1		BMW	3.0	183			24	419	313	299	41		7782					9	14	12.0	4.2	BMW	Germany		
283	BMW	M4	CS	2017	 45.9 	 62.7 	 66.5 	 70.3 	 71.1 	 74.7 	68807	68807	BMW	M4	2dr Coupe (3.0L 6cyl Turbo 6M)	2017	Compact Cars	Front	3000	6	Inline	4	425		406				10.2	Premium Unleaded (Required)			Rear Wheel Drive	Manual		2	3530					26.0	20.0	17.0	16	1		BMW	3.0	183			24	419	313	299	41		7782					9	14	12.0	4.2	BMW	Germany		
284	BMW	M5	 	2012	 44.4 	 54.6 	 62.8 	 65.7 	 68.4 	 71.5 	48707	48707	bmw	M5		2012	Sedan	Front	4400	8	V	4	568	6000	680	1500				Gasoline			Rear	7-speed automated manual	5	4		4910	1892	1455						1		BMW	4.4	269			32	560	418	502	69			193.3	74.5	57.3						BMW	Germany		
285	BMW	M6	Cabrio	2012	 48.8 	 56.3 	 61.3 	 62.9 	 68.2 	 73.6 	nan																																																												
286	BMW	M6	 	2017	 44.9 	 59.8 	 63.0 	 66.3 	 67.2 	 70.6 	69334	69334	BMW	M6	2dr Convertible (4.4L 8cyl Turbo 7AM)	2017	Subcompact Cars	Front	4400	8	V	4	560		500				10	Premium Unleaded (Required)			Rear Wheel Drive	Automated Manual		2	4508					20.0	16.0	14.0	21	1		BMW	4.4	269			32	552	412	369	51		9938					12	17	15.0	5.5	BMW	Germany		
287	BMW	X1	xDrive 20d	2011	 44.5 	 59.5 	 62.4 	 65.5 	 68.5 	 71.0 	nan																																																												
288	BMW	X1	Xdrive 28i	2011	 42.9 	 52.8 	 60.7 	 64.7 	 66.0 	 67.7 	nan																																																												
289	BMW	X1	xDrive 30i	2013	 48.8 	 56.2 	 60.9 	 63.1 	 65.9 	 68.7 	57678	57678	bmw	X1	xDrive351i	2013	SUV	Front	2979	6	in-line	4	300	5800	407	5000	84.0	89.0	10.2 :1	Gasoline			AWD	6-speed automatic 	5	4	1765	4484	2044	1545	2760	7.4		11.4	63	1		BMW	3.0	182	3.31	3.50	24	296	221	300	42		3891	176.5	80.5	60.8	108.7	32	21		16.6	BMW	Germany		
290	BMW	X1	xDrive 28i	2015	 42.9 	 59.2 	 62.6 	 65.9 	 68.6 	 70.3 	61281	61281	BMW	X1	sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)	2015	Sport Utility Vehicles	Front	2000	4	Inline	4	240		260				10	Premium Unleaded (Required)			Rear Wheel Drive	Automatic		4	3527					34.0	27.0	23.0	17	1		BMW	2.0	122			16	237	177	192	27		7776					7	10	9.0	4.5	BMW	Germany		
291	BMW	X1	xDrive 20d	2016	 45.1 	 58.2 	 61.7 	 65.3 	 67.3 	 70.7 	66536	66536	BMW	X1	xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A)	2016	Sport Utility Vehicles	Front	3000	6	Inline	4	300		300				10.2	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	3891					27.0	21.0	18.0	17	1		BMW	3.0	183			24	296	221	221	31		8578					9	13	11.0	4.5	BMW	Germany		
292	BMW	X1	sDrive18i	2017	 43.9 	 56.8 	 60.5 	 64.3 	 66.2 	 69.6 	69106	69106	BMW	X1	sDrive28i 4dr SUV (2.0L 4cyl Turbo 8A)	2017	Sport Utility Vehicles	Front	2000	4	Inline	4	240		260				10	Premium Unleaded (Required)			Rear Wheel Drive	Automatic		4	3527					34.0	27.0	23.0	17	1		BMW	2.0	122			16	237	177	192	27		7776					7	10	9.0	4.5	BMW	Germany		
293	BMW	X1	sDrive18d	2018	 45.1 	 55.1 	 60.8 	 66.3 	 68.7 	 70.8 	71680	71680	BMW	X1	xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 6A)	2018	Sport Utility Vehicles	Front	3000	6	Inline	4	300		300				10.2	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	3891					27.0	21.0	18.0	17	1		BMW	3.0	183			24	296	221	221	31		8578					9	13	11.0	4.5	BMW	Germany		
294	BMW	X3	xDrive 30i	2008	 42.2 	 51.9 	 59.7 	 64.5 	 64.9 	 65.6 	5451	5451	bmw	X3	3.0si Exclusive Automatic	2008	SUV	Front	2979	6	in-line	4	231	5900	300	3500	84.0	89.6	10.2:1	Gasoline	210.0	10.0	Rear	Automatic	5	5	1765	4580	1860	1680	2800		14.6		67	1		BMW	3.0	182	3.31	3.53	24	228	170	221	31	130.0	3891	180.3	73.2	66.1	110.2			16.0	17.7	BMW	Germany		
295	BMW	X3	xDrive 35d	2008	 41.8 	 57.1 	 61.3 	 64.6 	 68.1 	 70.2 	5139	5139	bmw	X3	3.0i Steptronic	2008	SUV	Front	2979			4	231	5900	300	3500	89.6	84.0	10.2:1	Gasoline	210.0	8.1	4WD	Automatic	5	5	1765	4570	1860	1680	2800	9.4	12.1		67	1		BMW	3.0	182	3.53	3.31		228	170	221	31	130.0	3891	179.9	73.2	66.1	110.2	25		19.0	17.7	BMW	Germany		
296	BMW	X3	xDrive 20d	2011	 46.2 	 58.2 	 62.1 	 65.3 	 69.1 	 72.4 	50848	50848	bmw	X3	xDrive20d	2011	SUV	Front	1995	4	in-line	4	185	4000	380	1750	90.0	84.0		Diesel	209.0	8.5	AWD		5	5	1790	4648	1881	1675	2810	5.3	5.6	6.1	67	0		BMW	2.0	122	3.54	3.31	16	182	136	280	39	130.0	3946	183.0	74.1	65.9	110.6	44	39	42.0	17.7	BMW	Germany		
297	BMW	X3	xDrive 35i	2011	 44.0 	 54.1 	 60.5 	 63.3 	 67.7 	 72.1 	44498	44498	bmw	X3	xDrive35i	2011	SUV	Front	3000	6	in-line	4	304	5800	406	1200				Gasoline			AWD	Automatic	5	5	1915	4648	1882	1661	2807	9.0		12.4	67	1		BMW	3.0	183			24	300	224	299	41		4222	183.0	74.1	65.4	110.5	26	19		17.7	BMW	Germany		
298	BMW	X3	xDrive 20d	2014	 41.2 	 57.2 	 60.6 	 63.8 	 66.6 	 68.3 	58961	58961	BMW	X3	xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A)	2014	Sport Utility Vehicles	Front	3000	6	Inline	4	300		300				10.2	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	1915	4648				26.0	21.0	19.0	67	1		BMW	3.0	183			24	296	221	221	31		4222	183.0				9	12	11.0	17.7	BMW	Germany		
299	BMW	X3	xDrive 20d	2016	 48.1 	 61.2 	 62.8 	 64.3 	 65.3 	 68.7 	66593	66593	BMW	X3	xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)	2016	Sport Utility Vehicles	Front	2000	4	Inline	4	240		260				10	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	4150					28.0	24.0	21.0	18	1		BMW	2.0	122			16	237	177	192	27		9149					8	11	10.0	4.8	BMW	Germany		
300	BMW	X3	xDrive 35d	2016	 45.9 	 56.8 	 60.0 	 63.3 	 65.2 	 68.6 	66593	66593	BMW	X3	xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)	2016	Sport Utility Vehicles	Front	2000	4	Inline	4	240		260				10	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	4150					28.0	24.0	21.0	18	1		BMW	2.0	122			16	237	177	192	27		9149					8	11	10.0	4.8	BMW	Germany		
301	BMW	X3	xDrive20d	2017	 48.9 	 57.8 	 61.0 	 64.3 	 68.2 	 71.7 	69164	69164	BMW	X3	xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A)	2017	Sport Utility Vehicles	Front	3000	6	Inline	4	300		300				10.2	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	4230					26.0	21.0	19.0	18	1		BMW	3.0	183			24	296	221	221	31		9325					9	12	11.0	4.8	BMW	Germany		
302	BMW	X3	xDrive20d	2018	 42.1 	 52.1 	 57.8 	 63.3 	 65.7 	 67.8 	71737	71737	BMW	X3	xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)	2018	Sport Utility Vehicles	Front	2000	4	Inline	4	240		260				10	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	4150					28.0	24.0	21.0	18	1		BMW	2.0	122			16	237	177	192	27		9149					8	11	10.0	4.8	BMW	Germany		
303	BMW	X4	xDrive 35d	2014	 41.6 	 57.4 	 60.7 	 63.9 	 66.7 	 68.4 	58963	58963	BMW	X4	xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A)	2014	Sport Utility Vehicles	Front	3000	6	Inline	4	300		300				10.2	Premium Unleaded (Required)			All Wheel Drive	Automatic		4		4648								1		BMW	3.0	183			24	296	221	221	31			183.0								BMW	Germany		
304	BMW	X4	xDrive 35i	2015	 41.3 	 56.3 	 61.8 	 64.9 	 67.9 	 71.2 	60947	60947	BMW	X4	xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A)	2015	Sport Utility Vehicles	Front	3000	6	Inline	4	300		300				10.2	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	4260								18	1		BMW	3.0	183			24	296	221	221	31		9392								4.8	BMW	Germany		
305	BMW	X4	xDrive 30d	2016	 47.9 	 57.8 	 60.5 	 63.3 	 65.2 	 68.6 	66617	66617	BMW	X4	xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)	2016	Sport Utility Vehicles	Front	2000	4	Inline	4	240		260				10	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	4130								18	1		BMW	2.0	122			16	237	177	192	27		9105								4.8	BMW	Germany		
306	BMW	X4	xDrive20d	2018	 44.9 	 54.0 	 59.5 	 64.3 	 66.7 	 68.8 	71761	71761	BMW	X4	xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A)	2018	Sport Utility Vehicles	Front	2000	4	Inline	4	240		260				10	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	4130								18	1		BMW	2.0	122			16	237	177	192	27		9105								4.8	BMW	Germany		
307	BMW	X5	M	2010	 43.0 	 51.9 	 57.6 	 59.9 	 64.7 	 69.5 	44507	44507	bmw	X5	M	2010	SUV	Front	4400	8	V	4	563	6000	677	1500				Gasoline			AWD	Automatic	5	5	2435	4851	1994	1763	2934	13.8		19.6	85	1		BMW	4.4	269			32	555	414	499	69		5368	191.0	78.5	69.4	115.5	17	12		22.5	BMW	Germany		
308	BMW	X5	xDrive 30d	2010	 44.3 	 54.6 	 62.7 	 65.1 	 68.3 	 71.9 	50806	50806	bmw	X5	xDrive30d	2010	SUV	Front	2993	6	in-line	4	247	4000	540	1750	90.0	84.0		Diesel	209.0	7.6	AWD	Automatic	5	5	2150	4857	1933	1776	2934	6.7	7.4	8.7	85	0		BMW	3.0	183	3.54	3.31	24	244	182	398	55	130.0	4740	191.2	76.1	69.9	115.5	35	27	32.0	22.5	BMW	Germany		
309	BMW	X5	xDrive 30d	2012	 43.2 	 55.5 	 60.1 	 63.3 	 66.6 	 70.2 	50921	50921	bmw	X5	xDrive30d	2012	SUV	Front	2993	6	in-line	4	247	4000	540	1750	90.0	84.0		Diesel	209.0	7.6	AWD	Automatic	5	5	2150	4857	1933	1776	2933	6.7	7.4	8.7	85	0		BMW	3.0	183	3.54	3.31	24	244	182	398	55	130.0	4740	191.2	76.1	69.9	115.5	35	27	32.0	22.5	BMW	Germany		
310	BMW	X5	xDrive 30d	2012	 42.6 	 52.5 	 60.4 	 63.4 	 65.7 	 68.2 	50921	50921	bmw	X5	xDrive30d	2012	SUV	Front	2993	6	in-line	4	247	4000	540	1750	90.0	84.0		Diesel	209.0	7.6	AWD	Automatic	5	5	2150	4857	1933	1776	2933	6.7	7.4	8.7	85	0		BMW	3.0	183	3.54	3.31	24	244	182	398	55	130.0	4740	191.2	76.1	69.9	115.5	35	27	32.0	22.5	BMW	Germany		
311	BMW	X5	xDrive 30d	2013	 41.4 	 56.3 	 58.0 	 60.8 	 64.6 	 68.2 	57687	57687	bmw	X5	xDrive35d	2013	SUV	Front	2993	6	in-line	4	265	4200	576	2250	84.0	90.0	17	Diesel			AWD	6-speed automatic	5	5	2355	4857	2197	1776	2933	7.6		10.9	85	1		BMW	3.0	183	3.31	3.54	24	261	195	425	59		5192	191.2	86.5	69.9	115.5	31	22		22.5	BMW	Germany		
312	BMW	X5	3.0 V6	2014	 40.3 	 50.7 	 57.2 	 60.5 	 63.5 	 66.5 	58964	58964	BMW	X5	xDrive50i 4dr SUV AWD (4.4L 8cyl Turbo 8A)	2014	Sport Utility Vehicles	Front	4400	8	V	4	445		479				10	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	2336	4907				22.0	17.0	14.0	85	1		BMW	4.4	269			32	439	327	353	49		5150	193.2				11	17	14.0	22.5	BMW	Germany		
313	BMW	X5	xDrive 30d	2014	 41.6 	 56.2 	 60.1 	 63.9 	 65.7 	 67.3 	58966	58966	BMW	X5	xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A)	2014	Sport Utility Vehicles	Front	3000	6	Inline	4	300		295				10.2	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	2173	4907				27.0	21.0	18.0	85	1		BMW	3.0	183			24	296	221	218	30		4791	193.2				9	13	11.0	22.5	BMW	Germany		
314	BMW	X5	xDrive 50i	2014	 46.1 	 55.2 	 58.2 	 61.2 	 64.4 	 67.7 	58966	58966	BMW	X5	xDrive35i 4dr SUV AWD (3.0L 6cyl Turbo 8A)	2014	Sport Utility Vehicles	Front	3000	6	Inline	4	300		295				10.2	Premium Unleaded (Required)			All Wheel Drive	Automatic		4	2173	4907				27.0	21.0	18.0	85	1		BMW	3.0	183			24	296	221	218	30		4791	193.2				9	13	11.0	22.5	BMW	Germany		
