	brand	model	spec	year	dB_at_idle	dB_at_50kmh	dB_at_80kmh	dB_at_100kmh	dB_at_120kmh	dB_at_140kmh	model_id	model_id_cqa	model_make_id_cqa	model_name_cqa	model_trim_cqa	model_year_cqa	model_body_cqa	model_engine_position_cqa	model_engine_cc_cqa	model_engine_cyl_cqa	model_engine_type_cqa	model_engine_valves_per_cyl_cqa	model_engine_power_ps_cqa	model_engine_power_rpm_cqa	model_engine_torque_nm_cqa	model_engine_torque_rpm_cqa	model_engine_bore_mm_cqa	model_engine_stroke_mm_cqa	model_engine_compression_cqa	model_engine_fuel_cqa	model_top_speed_kph_cqa	model_0_to_100_kph_cqa	model_drive_cqa	model_transmission_type_cqa	model_seats_cqa	model_doors_cqa	model_weight_kg_cqa	model_length_mm_cqa	model_width_mm_cqa	model_height_mm_cqa	model_wheelbase_mm_cqa	model_lkm_hwy_cqa	model_lkm_mixed_cqa	model_lkm_city_cqa	model_fuel_cap_l_cqa	model_sold_in_us_cqa	model_co2_cqa	model_make_display_cqa	model_engine_l_cqa	model_engine_ci_cqa	model_engine_bore_in_cqa	model_engine_stroke_in_cqa	model_engine_valves_cqa	model_engine_power_hp_cqa	model_engine_power_kw_cqa	model_engine_torque_lbft_cqa	model_engine_torque_kgm_cqa	model_top_speed_mph_cqa	model_weight_lbs_cqa	model_length_in_cqa	model_width_in_cqa	model_height_in_cqa	model_wheelbase_in_cqa	model_mpg_hwy_cqa	model_mpg_city_cqa	model_mpg_mixed_cqa	model_fuel_cap_g_cqa	make_display_cqa	make_country_cqa	ExtColors_cqa	IntColors_cqa
16	Alfa Romeo	Giulia	2.1d	2017	 44.9 	 59.8 	 63.5 	 67.3 	 69.1 	 72.7 	nan																																																												
17	Alfa Romeo	Giulia	2.9 V6	2017	 47.9 	 60.8 	 64.0 	 67.3 	 70.1 	 73.7 	nan																																																												
18	Alfa Romeo	Giulia	2.0	2018	 41.1 	 52.6 	 58.9 	 65.8 	 68.2 	 70.8 	nan																																																												
19	Alfa Romeo	Giulietta	1.4	2010	 44.1 	 60.5 	 64.0 	 66.0 	 68.5 	 71.5 	nan																																																												
20	Alfa Romeo	Giulietta	1.6 JTDm	2011	 43.7 	 53.8 	 61.9 	 66.2 	 67.3 	 68.8 	nan																																																												
21	Alfa Romeo	Giulietta	1.4T	2012	 42.1 	 58.8 	 61.1 	 63.5 	 66.5 	 68.3 	nan																																																												
22	Alfa Romeo	Giulietta	2.0 JTDm	2012	 45.2 	 55.7 	 64.0 	 68.0 	 69.6 	 71.6 	nan																																																												
23	Alfa Romeo	Giulietta	1.4	2018	 46.9 	 56.5 	 61.8 	 66.8 	 69.2 	 70.8 	nan																																																												
24	Alfa Romeo	Giulietta	1.6d	2018	 47.1 	 56.1 	 61.5 	 66.3 	 68.7 	 70.8 	nan																																																												
25	Alfa Romeo	GT	1.9 JTDm Q2	2008	 41.9 	 51.5 	 59.2 	 63.8 	 64.4 	 65.3 	nan																																																												
26	Alfa Romeo	MiTo	1.4 Turbo 155	2008	 45.1 	 55.5 	 63.8 	 68.5 	 69.4 	 70.7 	nan																																																												
27	Alfa Romeo	MiTo	1.6 JTDm	2009	 46.6 	 57.4 	 66.0 	 70.3 	 71.7 	 73.5 	nan																																																												
28	Alfa Romeo	MiTo	1.4 Turbo Multi-Air	2010	 42.0 	 62.3 	 66.4 	 68.5 	 72.9 	 75.7 	nan																																																												
29	Alfa Romeo	Stelvio	2.0	2017	 42.9 	 57.8 	 61.0 	 64.3 	 66.2 	 69.6 	nan																																																												
30	Alfa Romeo	Stelvio	2.1d	2017	 43.9 	 53.8 	 58.3 	 61.7 	 67.6 	 67.7 	nan																																																												
31	Alpina	B7	 	2011	 43.9 	 54.8 	 61.5 	 65.5 	 67.1 	 68.8 	44344	44344	alpina	B7	xDrive	2011	Sedan	Front	4400	8	V	4	507	5500	699	3000				Gasoline			AWD	Automatic	5	4	2140	5085	1902	1483	3071	11.8		16.8	82	1		Alpina	4.4	269			32	500	373	516	71		4718	200.2	74.9	58.4	120.9	20	14		21.7	Alpina	UK		
32	Aston Martin	Rapide	5.9 V12	2013	 52.2 	 58.1 	 62.2 	 63.1 	 68.6 	 74.1 	nan																																																												
33	Audi	A1	1.4 TFSI S tronic	2010	 39.4 	 62.2 	 64.4 	 66.8 	 69.1 	 71.9 	46390	46390	audi	A1	1.2	2010	Hatchback	Front	1197	4	in-line		86	4800	160	1500				Gasoline	180.0	11.7	Front	Manual	4	3	1040	3954	1740	1416	2469				34	0		Audi	1.2	73				85	63	118	16	112.0	2293	155.7	68.5	55.7	97.2				9.0	Audi	Germany		
